sampleID fatherID motherID sex
HG00096 0 0 1
HG00097 0 0 2
HG00099 0 0 2
HG00100 0 0 2
HG00101 0 0 1
HG00102 0 0 2
HG00103 0 0 1
HG00105 0 0 1
HG00106 0 0 2
HG00107 0 0 1
HG00108 0 0 1
HG00109 0 0 1
HG00110 0 0 2
HG00111 0 0 2
HG00112 0 0 1
HG00113 0 0 1
HG00114 0 0 1
HG00115 0 0 1
HG00116 0 0 1
HG00117 0 0 1
HG00118 0 0 2
HG00119 0 0 1
HG00120 0 0 2
HG00121 0 0 2
HG00122 0 0 2
HG00123 0 0 2
HG00125 0 0 2
HG00126 0 0 1
HG00127 0 0 2
HG00128 0 0 2
HG00129 0 0 1
HG00130 0 0 2
HG00131 0 0 1
HG00132 0 0 2
HG00133 0 0 2
HG00136 0 0 1
HG00137 0 0 2
HG00138 0 0 1
HG00139 0 0 1
HG00140 0 0 1
HG00141 0 0 1
HG00142 0 0 1
HG00143 0 0 1
HG00145 0 0 1
HG00146 0 0 2
HG00148 0 0 1
HG00149 0 0 1
HG00150 0 0 2
HG00151 0 0 1
HG00154 0 0 2
HG00155 0 0 1
HG00157 0 0 1
HG00158 0 0 2
HG00159 0 0 1
HG00160 0 0 1
HG00171 0 0 2
HG00173 0 0 2
HG00174 0 0 2
HG00176 0 0 2
HG00177 0 0 2
HG00178 0 0 2
HG00179 0 0 2
HG00180 0 0 2
HG00181 0 0 1
HG00182 0 0 1
HG00183 0 0 1
HG00185 0 0 1
HG00186 0 0 1
HG00187 0 0 1
HG00188 0 0 1
HG00189 0 0 1
HG00190 0 0 1
HG00231 0 0 2
HG00232 0 0 2
HG00233 0 0 2
HG00234 0 0 1
HG00235 0 0 2
HG00236 0 0 2
HG00237 0 0 2
HG00238 0 0 2
HG00239 0 0 2
HG00240 0 0 2
HG00242 0 0 1
HG00243 0 0 1
HG00244 0 0 1
HG00245 0 0 2
HG00246 0 0 1
HG00250 0 0 2
HG00251 0 0 1
HG00252 0 0 1
HG00253 0 0 2
HG00254 0 0 2
HG00255 0 0 2
HG00256 0 0 1
HG00257 0 0 2
HG00258 0 0 2
HG00259 0 0 2
HG00260 0 0 1
HG00261 0 0 2
HG00262 0 0 2
HG00263 0 0 2
HG00264 0 0 1
HG00265 0 0 1
HG00266 0 0 2
HG00267 0 0 1
HG00268 0 0 2
HG00269 0 0 2
HG00271 0 0 1
HG00272 0 0 2
HG00273 0 0 1
HG00274 0 0 2
HG00275 0 0 2
HG00276 0 0 2
HG00277 0 0 1
HG00278 0 0 1
HG00280 0 0 1
HG00281 0 0 2
HG00282 0 0 2
HG00284 0 0 1
HG00285 0 0 2
HG00288 0 0 2
HG00290 0 0 1
HG00304 0 0 2
HG00306 0 0 2
HG00308 0 0 1
HG00309 0 0 2
HG00310 0 0 1
HG00311 0 0 1
HG00313 0 0 2
HG00315 0 0 2
HG00318 0 0 2
HG00319 0 0 2
HG00320 0 0 2
HG00321 0 0 1
HG00323 0 0 2
HG00324 0 0 2
